	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre09.g411200	0.880156	38.1726	33.7782	61.7679	67.7613	60.4712	44.4756	88.3915	96.971	60.4515	52.9359	38.2675	59.3846	80.5002	89.3284	65.469	58.8425	60.8064	59.3501	104.979	92.6063	Photosystem I reaction center subunit V
Cre12.g560950	0.879033	1092.16	400.851	1331.83	1324.1	539.294	407.767	1848.78	1684.87	1190.17	992.562	221.614	427.692	1576.55	1622	1184.72	1181.59	738.216	922.914	1536.13	1651.39	Proteasome maturation factor
Cre16.g665000	0.877482	33.5966	16.3716	40.0313	45.0915	19.3523	19.1215	49.9719	39.4191	50.346	50.1443	14.6217	18.179	55.9009	40.8395	53.1567	52.5882	32.7689	32.8529	55.3813	61.1826	Cytochrome c oxidase assembly protein, Surfeit 1-like protein
Cre16.g664700	0.87653	8.39836	4.27622	10.1782	6.50338	4.46781	3.25788	14.7627	11.5348	7.22733	9.09669	1.28844	3.78867	12.1455	10.1483	9.83286	7.9923	5.25672	4.57346	15.0418	15.2115	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase
Cre01.g053000	0.873718	1.18907	0.381562	2.62253	3.87986	2.36647	3.72499	14.6441	13.3991	2.78322	5.79113	0.650408	1.52703	15.8198	13.4535	5.02773	4.4731	2.53832	3.24414	21.5919	23.1187	S-adenosyl-L-methionine-dependent methyltransferase
Cre03.g188950	0.8736	6.08141	4.24827	6.40076	7.59746	5.57451	6.06262	6.5319	7.99339	6.96262	6.71162	4.99519	4.64116	8.02703	7.64679	6.751	8.07248	6.2222	6.66156	9.15606	9.37887	(1 of 1) PTHR12281:SF2 - DCN1-LIKE PROTEIN 2
Cre01.g014850	0.873479	2.9944	2.22618	3.27621	6.13496	3.52551	3.61322	6.17663	5.21021	7.78206	6.07112	2.0572	3.15921	6.32532	5.69007	6.55091	6.36859	4.08887	3.77633	6.56592	7.41055	
Cre07.g327100	0.872743	15.8766	6.1072	14.5985	19.6691	14.0429	18.4156	26.5474	28.6954	20.544	21.7611	6.57475	15.8319	24.0304	22.2147	22.1398	25.5715	17.5323	15.5382	36.6381	35.2273	Phospholipid scramblase
Cre06.g267850	0.872453	8.89662	2.70112	10.6245	10.4913	6.19374	4.8055	14.1247	12.488	12.0503	9.45049	2.03047	3.38006	11.2111	11.5999	8.48122	8.81523	6.40495	5.30555	10.8388	11.2303	
Cre06.g278104	0.872256	14.2601	6.94769	20.6669	15.8154	8.85131	7.51901	20.8051	20.6222	14.6054	15.1766	6.72299	7.84551	20.3469	20.5647	14.3346	15.6165	10.2958	13.5484	20.6161	21.3201	(1 of 8) PF12680 - SnoaL-like domain (SnoaL_2)
Cre07.g331750	0.871333	12.7681	9.54941	19.6609	16.0967	13.0976	14.1068	28.6335	26.721	14.6732	16.5151	8.38238	13.6335	29.2712	25.7193	19.0025	16.7778	16.6104	19.0364	30.2113	28.4418	Light-harvesting protein of photosystem I
Cre12.g508750	0.86987	821.998	261.294	1019.47	1084.4	359.291	240.057	1260.52	1325.73	963.403	690.198	108.633	260.395	1067.43	1259.76	824.804	920.61	446.74	610.631	1119.51	1288.72	Oxoglutarate:malate antiporter
Cre17.g713350	0.86944	204.199	105.297	277.615	241.201	122.947	128.04	386.647	327.5	234.469	188.561	26.7505	87.18	285.347	330.348	243.189	235.8	136.758	150.132	351.969	361.669	Predicted protein related to longevity assurance protein
Cre12.g504050	0.868522	6.08689	1.20207	6.41821	6.78785	3.79036	2.58359	15.2637	11.6187	6.03754	4.74952	0.463225	1.47276	9.9477	11.0915	4.96875	5.03242	2.78018	3.48211	10.6209	10.0875	(1 of 1) PF14347 - Domain of unknown function (DUF4399) (DUF4399)
Cre01.g016900	0.868144	85.6724	55.9676	107.335	124.165	42.1149	44.626	165.458	165.57	114.935	105.792	59.3025	52.4863	169.426	160.441	129.449	118.492	72.9126	79.8805	168.977	153.221	Flavin-containing amine oxidase
Cre13.g587500	0.867806	1.5335	1.48644	3.58476	2.32335	1.47259	1.34391	4.55318	4.48537	1.57541	1.97202	0.297456	1.23839	4.46584	3.72587	2.50444	2.26078	1.76359	2.3338	6.64643	5.80724	High mobility group protein
Cre11.g480950	0.8665	24.3379	10.7383	21.0778	40.2929	17.3569	20.9416	45.2038	34.3926	41.5828	42.1045	5.79919	17.0198	45.6629	42.7484	51.8953	45.1316	27.8132	30.3576	58.4875	50.3288	Signal peptide peptidase, eukaryotic-type
Cre07.g332550	0.866318	10.0407	6.57436	16.2285	9.51281	5.59453	7.35026	16.0576	12.0076	11.6627	11.3363	5.13762	5.79927	17.0439	14.1771	11.3966	12.2366	8.24942	9.92152	19.7289	19.6196	undefined
